id,member,city,spend,income,age,visits
C001,True,甲,214.52,9880.85,24,1
C002,True,甲,421.61,11558.15,28,4
C003,True,甲,487.27,13077.83,61,3
C004,True,甲,1155.1,12246.82,40,8
C005,True,甲,415.36,11654.2,29,5
C006,True,甲,406.6,11231.05,54,3
C007,True,甲,534.61,9883.37,38,4
C008,True,甲,824.41,11287.93,38,6
C009,True,甲,430.1,10416.88,48,4
C010,True,甲,569.0,10440.59,37,3
C011,True,甲,402.5,11553.35,39,2
C012,True,甲,758.94,9742.41,45,3
C013,True,甲,545.08,12720.75,54,4
C014,True,甲,411.66,8531.49,34,3
C015,True,甲,941.3,10171.07,33,4
C016,True,甲,572.5,12256.4,44,5
C017,True,甲,486.74,13428.59,64,3
C018,True,甲,524.41,10271.0,32,3
C019,True,甲,591.07,9648.34,64,3
C020,True,甲,1297.97,10933.73,22,10
C021,True,甲,466.72,13311.37,28,3
C022,True,甲,972.97,11976.9,23,6
C023,True,甲,721.78,10144.53,53,6
C024,True,甲,1208.16,11229.09,63,9
C025,True,甲,780.33,10909.16,39,5
C026,True,甲,826.8,10247.12,29,8
C027,True,甲,684.93,11206.29,49,3
C028,True,甲,813.2,9292.37,26,6
C029,True,甲,990.0,12303.57,41,8
C030,True,甲,803.17,10504.0,41,6
C031,True,甲,1065.33,13560.29,56,7
C032,True,甲,383.74,9896.34,63,2
C033,True,甲,783.19,9723.06,61,6
C034,True,甲,1164.83,12170.09,64,8
C035,True,甲,593.86,10252.19,59,5
C036,True,甲,864.04,9134.41,52,5
C037,True,甲,420.4,10905.87,52,3
C038,True,甲,830.13,11681.47,58,6
C039,True,甲,808.18,10242.86,54,7
C040,True,甲,1445.52,9991.48,59,9
C041,True,甲,1304.23,12717.79,54,10
C042,True,甲,404.04,11968.92,43,2
C043,True,甲,2336.26,11412.85,33,14
C044,True,甲,1048.28,9379.12,55,7
C045,True,甲,545.03,11455.42,60,3
C046,True,甲,582.02,11093.42,46,4
C047,True,甲,1133.51,12309.57,62,7
C048,True,甲,1212.8,8964.97,59,9
C049,True,甲,1229.45,8881.28,22,9
C050,True,甲,412.05,13450.75,32,2
C051,True,甲,1579.33,11540.99,33,11
C052,True,甲,494.35,10022.9,37,6
C053,True,甲,533.71,12298.37,26,4
C054,True,甲,710.32,10252.61,53,4
C055,True,甲,730.71,10096.44,50,4
C056,True,甲,924.24,12979.22,44,7
C057,True,甲,1692.74,11062.18,56,11
C058,True,甲,891.48,12331.51,59,6
C059,True,甲,193.46,11584.4,35,1
C060,True,甲,370.64,11414.62,65,2
C061,True,甲,1361.93,10224.71,52,9
C062,True,甲,208.2,9413.01,56,2
C063,True,甲,700.54,11355.68,63,3
C064,True,甲,900.52,10333.61,37,7
C065,True,甲,328.74,10322.69,49,1
C066,True,甲,394.41,9071.77,26,3
C067,True,甲,821.94,10079.87,45,4
C068,True,甲,205.6,10758.34,35,1
C069,True,甲,456.39,10429.01,58,3
C070,True,甲,901.62,11874.41,64,6
C071,True,甲,361.48,11178.9,44,1
C072,True,甲,437.21,10906.34,59,3
C073,True,甲,1206.31,11577.22,61,10
C074,True,甲,244.94,11038.52,30,2
C075,True,甲,625.67,11650.32,60,4
C076,True,甲,650.22,9397.73,56,5
C077,True,甲,709.94,10570.04,31,5
C078,True,甲,575.8,10891.95,48,5
C079,True,甲,1257.9,12894.0,65,10
C080,True,甲,385.76,10163.14,43,4
C081,True,甲,496.09,12143.42,51,4
C082,True,甲,2068.96,12532.01,64,14
C083,True,甲,693.62,8751.95,42,4
C084,True,甲,1271.53,8715.55,50,8
C085,True,甲,1372.44,11482.64,37,9
C086,True,甲,629.54,9497.92,64,4
C087,True,甲,613.34,10968.59,63,4
C088,True,甲,1109.95,10521.91,61,7
C089,True,甲,585.15,8337.29,49,5
C090,True,甲,741.37,8320.73,62,3
C091,True,甲,822.23,8037.61,58,7
C092,True,甲,1647.19,9279.7,63,13
C093,True,甲,1348.16,10684.4,43,9
C094,True,甲,400.64,12060.58,53,5
C095,True,甲,544.45,11577.39,47,2
C096,True,甲,1051.96,10733.41,58,4
C097,True,甲,871.98,11743.15,63,6
C098,True,甲,718.15,13308.65,25,5
C099,True,甲,545.23,12061.39,36,5
C100,True,甲,474.48,12384.09,24,4
C101,True,甲,545.08,10346.81,53,5
C102,True,甲,444.34,8165.9,28,6
C103,True,甲,1081.0,9100.79,50,8
C104,True,甲,443.81,10723.82,59,2
C105,True,甲,531.75,11703.49,49,3
C106,True,甲,1280.79,10880.83,47,7
C107,True,甲,666.2,11911.64,59,5
C108,True,甲,1201.38,12323.1,22,9
C109,True,甲,275.38,12477.1,49,1
C110,True,甲,667.87,12329.19,34,4
C111,True,甲,507.0,9551.85,51,4
C112,True,甲,520.18,12235.94,25,3
C113,True,甲,447.21,9842.88,39,4
C114,True,甲,526.34,10434.55,65,4
C115,True,甲,670.3,13414.66,41,4
C116,True,甲,1201.19,8181.01,34,9
C117,True,甲,609.25,12712.84,32,6
